ARCHIVO,PREDICCION
GET-2109,0
GET-4062,0
POZ-208,0
GET-16,0
GET-1860,0
POZ-5519,0
GET-1802,0
GET-1386,0
GET-3209,0
GET-339,0
POZ-6432,0
GET-587,0
POZ-2469,0
POZ-5936,0
POZ-5648,0
BCN-365,0
POZ-6363,0
POZ-3280,0
POZ-2181,0
POZ-7544,0
GET-1408,0
GET-115,0
POZ-4274,0
POZ-7046,0
POZ-4619,0
GET-2121,0
POZ-7507,0
GET-847,0
POZ-6694,0
GET-346,0
POZ-6560,0
POZ-5745,0
POZ-2122,0
BCN-340,0
POZ-2996,0
POZ-4083,0
POZ-4459,0
GET-1598,0
GET-639,0
GET-656,0
POZ-5582,0
POZ-3196,0
POZ-3400,0
GET-3106,0
GET-1664,0
POZ-5775,0
GET-281,0
GET-3753,0
POZ-1550,0
POZ-4595,0
POZ-1573,0
POZ-1868,0
POZ-4012,0
GET-4060,0
GET-2555,0
BCN-367,0
GET-4212,0
POZ-2783,0
POZ-4446,0
POZ-6074,0
POZ-3468,0
POZ-646,0
POZ-2495,0
POZ-5651,0
BCN-412,0
POZ-2804,0
GET-3976,0
POZ-5523,0
GET-59,0
GET-242,0
POZ-1590,0
GET-3008,0
POZ-842,0
POZ-2227,0
BCN-310,0
GET-1143,0
POZ-6111,0
POZ-5785,0
POZ-5522,0
GET-2938,0
GET-4080,0
GET-2575,0
POZ-6674,0
POZ-1586,0
POZ-7253,0
GET-1661,0
GET-2540,0
POZ-5420,0
POZ-4333,0
BCN-123,0
GET-2316,0
GET-2246,0
POZ-4802,0
POZ-3158,0
GET-2428,0
POZ-2774,0
POZ-6684,0
GET-3797,0
GET-1641,0
GET-1792,0
POZ-387,0
GET-1190,0
POZ-5608,0
GET-1595,0
POZ-4451,0
GET-384,0
POZ-1672,0
GET-3359,0
POZ-1324,0
POZ-2890,0
POZ-3045,0
POZ-3522,0
POZ-2727,0
POZ-1227,0
GET-2006,0
POZ-6540,0
GET-1156,0
GET-985,0
POZ-5273,0
POZ-1019,0
POZ-1055,0
GET-2595,0
POZ-1805,0
POZ-6187,0
POZ-6303,0
GET-631,0
POZ-623,0
POZ-6445,0
GET-21,0
POZ-1063,0
POZ-4153,0
POZ-7664,0
POZ-3220,0
POZ-1193,0
POZ-178,0
POZ-6246,0
POZ-1528,0
POZ-3384,0
POZ-6260,0
POZ-5174,0
GET-2843,0
POZ-3792,0
GET-3533,0
GET-3769,0
BCN-136,0
POZ-5551,0
POZ-685,0
GET-2982,0
POZ-6716,0
POZ-3440,0
GET-429,0
POZ-740,0
POZ-1950,0
POZ-311,0
GET-1196,0
POZ-7093,0
POZ-821,0
GET-3828,0
